model_short,model_full,asset,stride_letter,stride_label,scenario,scenario_id
ChatGPT,ChatGPT GPT-5.6 Luna,1. Cameras (Mono + Stereo),S,Spoofing,An attacker injects a forged camera stream or replays previously recorded road images so that the accident-detection system perceives a false traffic situation.,
ChatGPT,ChatGPT GPT-5.6 Luna,1. Cameras (Mono + Stereo),T,Tampering,"Camera firmware, calibration parameters, timestamps, or image frames are modified in transit or at the roadside ITS station, causing incorrect object detection or distance estimation.",
ChatGPT,ChatGPT GPT-5.6 Luna,1. Cameras (Mono + Stereo),I,Information Disclosure,"Unauthorized access to live or stored camera imagery exposes vehicle occupants, license plates, road users, or other potentially sensitive visual information.",
ChatGPT,ChatGPT GPT-5.6 Luna,1. Cameras (Mono + Stereo),D,Denial of Service,"An attacker jams, floods, disconnects, or disables the camera interface, preventing the system from detecting accidents.",
ChatGPT,ChatGPT GPT-5.6 Luna,2. Edge Detector (YOLOv5 fast path),S,Spoofing,"Adversarial or fabricated images are supplied to the detector so that nonexistent vehicles, pedestrians, or hazards are detected.",
ChatGPT,ChatGPT GPT-5.6 Luna,2. Edge Detector (YOLOv5 fast path),T,Tampering,"The YOLOv5 model, weights, configuration, preprocessing pipeline, or confidence thresholds are modified to suppress or create detections.",
ChatGPT,ChatGPT GPT-5.6 Luna,2. Edge Detector (YOLOv5 fast path),I,Information Disclosure,"Intermediate detections, image buffers, or debug interfaces are exposed to an unauthorized party.",
ChatGPT,ChatGPT GPT-5.6 Luna,2. Edge Detector (YOLOv5 fast path),D,Denial of Service,Malformed inputs or excessive image frames exhaust CPU/GPU resources and prevent real-time detection.,
ChatGPT,ChatGPT GPT-5.6 Luna,2. Edge Detector (YOLOv5 fast path),E,Elevation of Privilege,A vulnerability in the detector runtime or inference service is exploited to obtain operating-system privileges on the roadside station.,
ChatGPT,ChatGPT GPT-5.6 Luna,3. Situation Detection Agent 1 / MLLM call,S,Spoofing,An attacker impersonates the trusted MLLM service or injects fabricated scene descriptions into the agent's input.,
ChatGPT,ChatGPT GPT-5.6 Luna,3. Situation Detection Agent 1 / MLLM call,T,Tampering,"Prompts, agent context, system instructions, tool parameters, or detected-object data are modified so the agent incorrectly classifies a non-accident as an accident or misses a real accident.",
ChatGPT,ChatGPT GPT-5.6 Luna,3. Situation Detection Agent 1 / MLLM call,I,Information Disclosure,"Camera-derived scene descriptions, location information, or accident context are disclosed to an unauthorized cloud service, API consumer, or attacker.",
ChatGPT,ChatGPT GPT-5.6 Luna,3. Situation Detection Agent 1 / MLLM call,D,Denial of Service,Repeated or oversized MLLM requests consume API quotas or network resources and delay situation classification.,
ChatGPT,ChatGPT GPT-5.6 Luna,3. Situation Detection Agent 1 / MLLM call,E,Elevation of Privilege,"Prompt injection or agent-service vulnerabilities cause the agent to invoke unauthorized tools, APIs, or local system functions.",
ChatGPT,ChatGPT GPT-5.6 Luna,4 & 7. Cloud MLLM / Gemini API,S,Spoofing,"A rogue endpoint impersonates the cloud MLLM API, causing the roadside system to send accident data to an attacker-controlled service.",
ChatGPT,ChatGPT GPT-5.6 Luna,4 & 7. Cloud MLLM / Gemini API,T,Tampering,"Requests or responses between the roadside station and cloud MLLM are modified, potentially changing accident classification or generated content.",
ChatGPT,ChatGPT GPT-5.6 Luna,4 & 7. Cloud MLLM / Gemini API,R,Repudiation,"A lack of reliable request, response, and identity logging makes it difficult to determine which API account generated a critical accident-analysis result.",
ChatGPT,ChatGPT GPT-5.6 Luna,4 & 7. Cloud MLLM / Gemini API,I,Information Disclosure,"Images, scene descriptions, location, or vehicle-related information sent to the cloud are exposed through compromised credentials, insecure API configuration, or unauthorized access.",
ChatGPT,ChatGPT GPT-5.6 Luna,4 & 7. Cloud MLLM / Gemini API,D,Denial of Service,"API quota exhaustion, credential abuse, network disruption, or provider unavailability prevents timely MLLM analysis.",
ChatGPT,ChatGPT GPT-5.6 Luna,4 & 7. Cloud MLLM / Gemini API,E,Elevation of Privilege,"Compromised API credentials are reused to obtain access to additional cloud resources, data, or administrative functions.",
ChatGPT,ChatGPT GPT-5.6 Luna,5. Distance Estimate Agent 2 / Depth Pro,S,Spoofing,"A manipulated stereo/depth input causes the component to estimate a false distance to a vehicle, pedestrian, or obstacle.",
ChatGPT,ChatGPT GPT-5.6 Luna,5. Distance Estimate Agent 2 / Depth Pro,T,Tampering,"Depth-model weights, calibration data, or processing parameters are altered so that estimated distances are systematically incorrect.",
ChatGPT,ChatGPT GPT-5.6 Luna,5. Distance Estimate Agent 2 / Depth Pro,I,Information Disclosure,"Depth maps or intermediate spatial data are exposed, revealing the structure of scenes captured by roadside cameras.",
ChatGPT,ChatGPT GPT-5.6 Luna,5. Distance Estimate Agent 2 / Depth Pro,D,Denial of Service,Excessive inference requests or malformed depth inputs cause the distance-estimation service to become unavailable.,
ChatGPT,ChatGPT GPT-5.6 Luna,6. Message Generation Agent 3 / MLLM call,S,Spoofing,An attacker impersonates the message-generation service and generates a fraudulent safety warning or DENM message.,
ChatGPT,ChatGPT GPT-5.6 Luna,6. Message Generation Agent 3 / MLLM call,T,Tampering,"Accident context, distance information, warning text, severity, location, or message parameters are changed before DENM encoding.",
ChatGPT,ChatGPT GPT-5.6 Luna,6. Message Generation Agent 3 / MLLM call,R,Repudiation,"Insufficient provenance information prevents tracing a transmitted warning back to the specific agent, input event, and model response.",
ChatGPT,ChatGPT GPT-5.6 Luna,6. Message Generation Agent 3 / MLLM call,I,Information Disclosure,The generated message or its underlying accident context reveals sensitive location or vehicle information.,
ChatGPT,ChatGPT GPT-5.6 Luna,6. Message Generation Agent 3 / MLLM call,D,Denial of Service,"The message-generation agent is overwhelmed, causing safety messages to be delayed beyond their useful lifetime.",
ChatGPT,ChatGPT GPT-5.6 Luna,6. Message Generation Agent 3 / MLLM call,E,Elevation of Privilege,Prompt injection or compromised agent credentials allow unauthorized access to message-generation APIs or downstream ITS functions.,
ChatGPT,ChatGPT GPT-5.6 Luna,8. DENM Encoder / ASN.1 UPER Payload,S,Spoofing,An attacker constructs a valid-looking DENM payload and injects it into the communication path while pretending to be the roadside ITS station.,
ChatGPT,ChatGPT GPT-5.6 Luna,8. DENM Encoder / ASN.1 UPER Payload,T,Tampering,"DENM fields such as event type, coordinates, severity, timestamp, validity period, or relevance area are modified before transmission.",
ChatGPT,ChatGPT GPT-5.6 Luna,8. DENM Encoder / ASN.1 UPER Payload,R,Repudiation,"Without end-to-end message identifiers and audit records, the sender may later deny having generated a particular DENM event.",
ChatGPT,ChatGPT GPT-5.6 Luna,8. DENM Encoder / ASN.1 UPER Payload,I,Information Disclosure,"Unprotected DENM payloads expose accident location, event details, timestamps, or other contextual information to passive observers.",
